zone	region	ID
"Sénégal oriental"	"Tambacounda"	592
"Sénégal oriental"	"Tambacounda"	593
"Sénégal oriental"	"Tambacounda"	594
"Sénégal oriental"	"Tambacounda"	595
"Sénégal oriental"	"Tambacounda"	596
"Sénégal oriental"	"Tambacounda"	597
"Sénégal oriental"	"Tambacounda"	598
"Casamance"	"Kolda"	599
"Sénégal oriental"	"Tambacounda"	600
"Casamance"	"Kolda"	601
"Sénégal oriental"	"Tambacounda"	602
"Casamance"	"Kolda"	603
"Casamance"	"Kolda"	604
"Casamance"	"Kolda"	605
"Casamance"	"Kolda"	606
"Casamance"	"Kolda"	607
"Casamance"	"Kolda"	608
"Casamance"	"Kolda"	609
"Casamance"	"Kolda"	610
"Sénégal oriental"	"Tambacounda"	611
"Sénégal oriental"	"Tambacounda"	612
"Sénégal oriental"	"Tambacounda"	613
"Sénégal oriental"	"Tambacounda"	614
"Sénégal oriental"	"Tambacounda"	615
"Sénégal oriental"	"Tambacounda"	616
"Sénégal oriental"	"Tambacounda"	617
"Sénégal oriental"	"Tambacounda"	618
"Casamance"	"Kolda"	619
"Sénégal oriental"	"Tambacounda"	620
"Casamance"	"Kolda"	621
"Sénégal oriental"	"Tambacounda"	622
"Casamance"	"Kolda"	623
"Casamance"	"Kolda"	624
"Casamance"	"Kolda"	625
"Casamance"	"Kolda"	626
"Casamance"	"Kolda"	627
"Casamance"	"Kolda"	628
"Casamance"	"Kolda"	629
"Casamance"	"Kolda"	630
"Sénégal oriental"	"Tambacounda"	631
"Sénégal oriental"	"Tambacounda"	632
"Sénégal oriental"	"Tambacounda"	633
"Sénégal oriental"	"Tambacounda"	634
"Sénégal oriental"	"Tambacounda"	635
"Sénégal oriental"	"Tambacounda"	636
"Sénégal oriental"	"Tambacounda"	637
"Sénégal oriental"	"Tambacounda"	638
"Sénégal oriental"	"Tambacounda"	639
"Sénégal oriental"	"Tambacounda"	640
"Casamance"	"Kolda"	641
"Sénégal oriental"	"Tambacounda"	642
"Casamance"	"Kolda"	643
"Sénégal oriental"	"Tambacounda"	644
"Casamance"	"Kolda"	645
"Sénégal oriental"	"Tambacounda"	646
"Casamance"	"Kolda"	647
"Sénégal oriental"	"Tambacounda"	648
"Casamance"	"Kolda"	649
"Sénégal oriental"	"Tambacounda"	650
"Casamance"	"Kolda"	651
"Sénégal oriental"	"Tambacounda"	652
"Casamance"	"Kolda"	653
"Sénégal oriental"	"Tambacounda"	654
"Casamance"	"Kolda"	655
"Sénégal oriental"	"Tambacounda"	656
"Casamance"	"Kolda"	657
"Sénégal oriental"	"Tambacounda"	658
"Casamance"	"Kolda"	659
"Sénégal oriental"	"Tambacounda"	660
"Casamance"	"Kolda"	661
"Casamance"	"Kolda"	662
"Casamance"	"Kolda"	663
"Casamance"	"Kolda"	664
"Casamance"	"Kolda"	665
"Casamance"	"Kolda"	666
"Casamance"	"Kolda"	667
"Casamance"	"Kolda"	668
"Casamance"	"Kolda"	669
"Casamance"	"Kolda"	670
"Casamance"	"Kolda"	671
"Casamance"	"Kolda"	672
"Sénégal oriental"	"Tambacounda"	673
